"m";"task";"participant";"angularShift"
"sep";"month";"Sa24";"  5.08938748"
"oct";"month";"Sa24";" 14.03118240"
"nov";"month";"Sa24";" 27.21703367"
"dec";"month";"Sa24";" 23.16292136"
"jan";"crazy";"Sa24";"  5.40526998"
"feb";"crazy";"Sa24";"  9.95758908"
"mar";"crazy";"Sa24";"  8.88560489"
"apr";"crazy";"Sa24";"  5.38514507"
"may";"crazy";"Sa24";"  9.77901741"
"jun";"crazy";"Sa24";"  0.71703208"
"jul";"crazy";"Sa24";"  1.28536065"
"aug";"crazy";"Sa24";"  3.49005838"
"sep";"crazy";"Sa24";"  8.97453444"
"oct";"crazy";"Sa24";"  7.13841042"
"nov";"crazy";"Sa24";"  5.28596938"
"dec";"crazy";"Sa24";"  7.34585669"
"jan";"month";"Sa25";"  0.67424549"
"feb";"month";"Sa25";" 10.49447911"
"mar";"month";"Sa25";" 12.33298896"
"apr";"month";"Sa25";" 31.71106172"
"may";"month";"Sa25";"  4.18143585"
"jun";"month";"Sa25";" 25.26729668"
"jul";"month";"Sa25";"  5.04919121"
"aug";"month";"Sa25";" 13.14910216"
"sep";"month";"Sa25";" 10.41935596"
"oct";"month";"Sa25";" 12.72352739"
"nov";"month";"Sa25";" 15.85114179"
"dec";"month";"Sa25";"  6.13137318"
"jan";"crazy";"Sa25";" 10.18673242"
"feb";"crazy";"Sa25";"  8.79333870"
"mar";"crazy";"Sa25";"  8.56573570"
"apr";"crazy";"Sa25";"  9.67350389"
"may";"crazy";"Sa25";" 10.55734244"
"jun";"crazy";"Sa25";"  5.04788672"
"jul";"crazy";"Sa25";"  0.47474453"
"aug";"crazy";"Sa25";" 10.27624531"
"sep";"crazy";"Sa25";"  9.49500458"
"oct";"crazy";"Sa25";" 11.28125535"
"nov";"crazy";"Sa25";"  0.15772970"
"dec";"crazy";"Sa25";"  1.74622429"
"jan";"month";"Sa26";" 14.57699439"
"feb";"month";"Sa26";"  9.13224977"
"mar";"month";"Sa26";"  7.15746044"
"apr";"month";"Sa26";"  7.22834097"
"may";"month";"Sa26";"  3.60909257"
"jun";"month";"Sa26";"  2.12364327"
"jul";"month";"Sa26";"  0.07013675"
"aug";"month";"Sa26";"  3.80105837"
"sep";"month";"Sa26";"  4.37795039"
"oct";"month";"Sa26";"  7.22684238"
"nov";"month";"Sa26";" 26.04091745"
"dec";"month";"Sa26";" 23.11594015"
