"m";"task";"participant";"angularShift"
"apr";"crazy";"Sa23";8.731124699
"may";"crazy";"Sa23";11.42848961
"jun";"crazy";"Sa23";11.506626765
"jul";"crazy";"Sa23";4.669264213
"aug";"crazy";"Sa23";8.990516643
"sep";"crazy";"Sa23";-0.843389012
"oct";"crazy";"Sa23";-0.837225273
"nov";"crazy";"Sa23";5.397623536
"dec";"crazy";"Sa23";8.024393266
"jan";"month";"Sa24";-30.560675035
"feb";"month";"Sa24";32.803421152
"mar";"month";"Sa24";24.262243335
"apr";"month";"Sa24";23.726093491
"may";"month";"Sa24";29.842289507
"jun";"month";"Sa24";8.795080191
"jul";"month";"Sa24";18.105813793
"aug";"month";"Sa24";24.969717714
"sep";"month";"Sa24";4.891569318
"oct";"month";"Sa24";-12.905813369
"nov";"month";"Sa24";-24.870115803
"dec";"month";"Sa24";-21.870080677
"jan";"crazy";"Sa24";-4.983782699
"feb";"crazy";"Sa24";10.091176359
"mar";"crazy";"Sa24";9.118881468
"apr";"crazy";"Sa24";5.127760294
"may";"crazy";"Sa24";9.923808328
"jun";"crazy";"Sa24";0.99030538
"jul";"crazy";"Sa24";1.331967458
"aug";"crazy";"Sa24";3.567225936
"sep";"crazy";"Sa24";9.118899485
"oct";"crazy";"Sa24";7.150786805
"nov";"crazy";"Sa24";5.384410507
"dec";"crazy";"Sa24";7.442195419
"jan";"month";"Sa25";0.73160824
"feb";"month";"Sa25";11.103933615
"mar";"month";"Sa25";13.081400739
"apr";"month";"Sa25";33.45665248
"may";"month";"Sa25";6.814291983
"jun";"month";"Sa25";28.234645911
"jul";"month";"Sa25";-3.96169935
"aug";"month";"Sa25";12.360482535
"sep";"month";"Sa25";-9.975168319
"oct";"month";"Sa25";11.648089698
"nov";"month";"Sa25";14.695286246
"dec";"month";"Sa25";5.664281125
"jan";"crazy";"Sa25";-8.544971026
"feb";"crazy";"Sa25";8.716994435
"mar";"crazy";"Sa25";8.043989526
"apr";"crazy";"Sa25";10.743793195
"may";"crazy";"Sa25";9.988838471
"jun";"crazy";"Sa25";-5.043710529
"jul";"crazy";"Sa25";0.340786863
"aug";"crazy";"Sa25";10.642052112
"sep";"crazy";"Sa25";9.76257965
"oct";"crazy";"Sa25";11.565475735
"nov";"crazy";"Sa25";0.130917869
"dec";"crazy";"Sa25";-1.837982772
"jan";"month";"Sa26";13.873239686
"feb";"month";"Sa26";9.539349049
"mar";"month";"Sa26";8.273923636
"apr";"month";"Sa26";7.595228015
"may";"month";"Sa26";3.681313843
"jun";"month";"Sa26";-2.361174553
"jul";"month";"Sa26";-0.19553607
"aug";"month";"Sa26";3.973606979
"sep";"month";"Sa26";-5.761983222
"oct";"month";"Sa26";7.097019307
"nov";"month";"Sa26";24.690922405
"dec";"month";"Sa26";21.504461159
